tempo,infectados
0,5.0
1,4.72
2,4.69
3,4.73
4,4.6
5,4.72
6,4.84
7,4.63
8,4.62
9,4.66
10,5.02
11,4.94
12,5.23
13,5.27
14,5.22
15,4.95
16,4.9
17,4.95
18,4.78
19,4.71
20,4.98
21,4.95
22,5.05
23,5.0
24,5.24
25,5.4
26,5.45
27,5.49
28,5.25
29,5.14
30,5.25
31,5.18
32,5.15
33,5.08
34,5.06
35,4.97
36,4.7
37,4.78
38,4.55
39,4.54
40,4.49
41,4.18
42,4.22
43,4.05
44,4.04
45,4.13
46,4.03
47,4.25
48,4.11
49,4.17
50,4.05
51,4.33
52,4.59
53,4.77
54,5.0
55,4.95
56,4.99
57,4.76
58,4.91
59,4.65
